Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12003862
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12003728
  i had an issue with driver 10:...  Open      25 Mar, 26     #12003715
  i had an issue with driver 10:...  Open      25 Mar, 26     #12003644
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12003642
  i had a payment related issue ...  Open      25 Mar, 26     #12003637
  suggestions: route, timing, st...  Open      25 Mar, 26     #12003585
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12003584
  bus quality and hygiene issue ...  Open      25 Mar, 26     #12003567
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12003566
  tracking issue 9:59 pm i could...  Open      25 Mar, 26     #12003562
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12003561
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12003478
  my seat had a problem 9:50 pm ...  Open      25 Mar, 26     #12003458
  suggestions: route, timing, st...  Open      25 Mar, 26     #12003453
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12003452
  i had an issue with driver 9:4...  Open      25 Mar, 26     #12003397
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12003396
  my seat had a problem 9:44 pm ...  Open      25 Mar, 26     #12003377
  i had an issue with driver 9:4...  Open      25 Mar, 26     #12003365
  i had an issue with driver 9:3...  Open      25 Mar, 26     #12003278
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12003272
  i had an issue with driver 9:2...  Open      25 Mar, 26     #12003124
  i had an issue with ac 9:16 pm...  Open      25 Mar, 26     #12003015
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12002981
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12002948
  tracking issue 9:03 pm i could...  Open      25 Mar, 26     #12002836
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12002833
  i lost or found something 9:00...  Open      25 Mar, 26     #12002818
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12002762
  my seat had a problem 8:51 pm ...  Open      25 Mar, 26     #12002723
  where is my bus 8:50 pm tracki...  Open      25 Mar, 26     #12002709
  suggestions: route, timing, st...  Open      25 Mar, 26     #12002674
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12002537
  bus quality and hygiene issue ...  Open      25 Mar, 26     #12002491
  my seat has a problem 8:27 pm ...  Open      25 Mar, 26     #12002481
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12002272
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12002268
  bus quality and hygiene issue ...  Open      25 Mar, 26     #12002185
  where is my bus 7:56 pm the bu...  Open      25 Mar, 26     #12002130
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12001999
  app issue 7:41 pm slow app 7:4...  Open      25 Mar, 26     #12001956
  i missed my bus 7:38 pm i want...  Open      25 Mar, 26     #12001917
  i lost or found something 7:32...  Open      25 Mar, 26     #12001844
  where is my bus 7:31 pm the bu...  Open      25 Mar, 26     #12001824
  suggestions: route, timing, st...  Open      25 Mar, 26     #12001751
  i have an issue with ac 7:22 p...  Open      25 Mar, 26     #12001697
  i want to reschedule my ride 7...  Open      25 Mar, 26     #12001668
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12001594
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12001479
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12001478
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12001475
  where is my bus 7:02 pm tracki...  Open      25 Mar, 26     #12001394
  where is my bus 7:00 pm the bu...  Open      25 Mar, 26     #12001360
  app issue 6:56 pm app was not ...  Open      25 Mar, 26     #12001292
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12001223
  i missed my bus 6:42 pm main m...  Open      25 Mar, 26     #12001091
  i have a payment related issue...  Open      25 Mar, 26     #12001069
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12001054
  app issue 6:27 pm unable to ca...  Open      25 Mar, 26     #12000797
  app issue 6:25 pm app not work...  Open      25 Mar, 26     #12000786
  app issue 6:16 pm app not work...  Open      25 Mar, 26     #12000592
  suggestions: route, timing, st...  Open      25 Mar, 26     #12000514
  suggestions: route, timing, st...  Open      25 Mar, 26     #12000435
  where is my bus 6:02 pm the bu...  Open      25 Mar, 26     #12000336
  i have an issue with ac 5:59 p...  Open      25 Mar, 26     #12000264
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #12000104
  i had an issue with driver 5:5...  Open      25 Mar, 26     #12000095
  i have an issue with ac 5:50 p...  Open      25 Mar, 26     #12000084
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11999983
  where is my bus 5:42 pm i can'...  Open      25 Mar, 26     #11999907
  i had an issue with driver 5:4...  Open      25 Mar, 26     #11999901
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11999866
  i had an issue with driver 5:2...  Open      25 Mar, 26     #11999573
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11999572
  app issue 5:16 pm unable to ca...  Open      25 Mar, 26     #11999321
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11999270
  i have an issue with ac 5:13 p...  Open      25 Mar, 26     #11999240
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11999236
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11998900
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11998737
  app issue 4:47 pm unable to ca...  Open      25 Mar, 26     #11998674
  i had an issue with driver 4:4...  Open      25 Mar, 26     #11998662
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11998655
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11998624
  my seat had a problem 4:40 pm ...  Open      25 Mar, 26     #11998550
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11998549
  i had an issue with driver 4:3...  Open      25 Mar, 26     #11998389
  my seat has a problem 4:29 pm ...  Open      25 Mar, 26     #11998362
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11998133
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11998132
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11997856
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11997831
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11997811
  i lost or found something 4:00...  Open      25 Mar, 26     #11997803
  i had an issue with ac 3:59 pm...  Open      25 Mar, 26     #11997796
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11997754
  app issue 3:55 pm unable to ca...  Open      25 Mar, 26     #11997724
  app issue 3:52 pm app was not ...  Open      25 Mar, 26     #11997674
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11997596
  my seat had a problem 3:15 pm ...  Open      25 Mar, 26     #11997177
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11997137
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11996991
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11996844
  my seat had a problem 2:28 pm ...  Open      25 Mar, 26     #11996678
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11996572
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11996571
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11996481
  suggestions: route, timing, st...  Open      25 Mar, 26     #11996260
  i had an issue with driver 12:...  Open      25 Mar, 26     #11995770
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11995643
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11995601
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11995226
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11995096
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11995032
  my seat had a problem 10:51 am...  Open      25 Mar, 26     #11995013
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11994998
  i lost or found something 10:3...  Open      25 Mar, 26     #11994915
  i had an issue with driver 10:...  Open      25 Mar, 26     #11994904
  main menu 10:43 am suggestions...  Open      25 Mar, 26     #11994877
  my seat had a problem 10:35 am...  Open      25 Mar, 26     #11994870
  i lost or found something 10:3...  Open      25 Mar, 26     #11994823
  i had an issue with driver 10:...  Open      25 Mar, 26     #11994690
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11994675
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11994669
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11994509
  my seat had a problem 9:50 am ...  Open      25 Mar, 26     #11994401
  app issue 9:49 am app not work...  Open      25 Mar, 26     #11994384
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11994358
  i had an issue with driver 9:4...  Open      25 Mar, 26     #11994352
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11994327
  i had an issue with driver 9:4...  Open      25 Mar, 26     #11994302
  tracking issue 9:34 am trackin...  Open      25 Mar, 26     #11994228
  i have an issue with driver 9:...  Open      25 Mar, 26     #11994223
  suggestions: route, timing, st...  Open      25 Mar, 26     #11994067
  i had an issue with driver 9:0...  Open      25 Mar, 26     #11993955
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11993803
  i had an issue with driver 8:5...  Open      25 Mar, 26     #11993787
  suggestions: route, timing, st...  Open      25 Mar, 26     #11993668
  suggestions: route, timing, st...  Open      25 Mar, 26     #11993493
  i lost or found something 8:37...  Open      25 Mar, 26     #11993412
  where is my bus 8:33 am tracki...  Open      25 Mar, 26     #11993343
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11993322
  where is my bus 8:25 am main m...  Open      25 Mar, 26     #11993165
  i had an issue with ac 8:22 am...  Open      25 Mar, 26     #11993097
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11992685
  my seat has a problem 8:04 am ...  Open      25 Mar, 26     #11992669
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11992646
  tracking issue 7:57 am i could...  Open      25 Mar, 26     #11992497
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11992496
  suggestions: route, timing, st...  Open      25 Mar, 26     #11992489
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11992485
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11992415
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11992350
  suggestions: route, timing, st...  Open      25 Mar, 26     #11992318
  suggestions: route, timing, st...  Open      25 Mar, 26     #11992286
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11992270
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11992260
  i lost or found something 7:48...  Open      25 Mar, 26     #11992243
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11992208
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11992124
  my seat had a problem 7:36 am ...  Open      25 Mar, 26     #11991881
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11991714
  my seat had a problem 6:56 am ...  Open      25 Mar, 26     #11990689
  main menu 6:57 am bus quality ...  Open      25 Mar, 26     #11990563
  No Issue Stated (Dropped Off)     Open      25 Mar, 26     #11990392
  suggestions: route, timing, st...  Open      25 Mar, 26     #11990355
  bus quality and hygiene issue ...  Open      25 Mar, 26     #11990116
  i lost or found something 5:25...  Open      24 Mar, 26     #11989896
  main menu 1:09 am i want to re...  Open      24 Mar, 26     #11989661
  i had an issue with ac 12:44 a...  Open      24 Mar, 26     #11989594
  app issue 12:40 am slow app 12...  Open      24 Mar, 26     #11989580
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11989524
  app issue 12:11 am app was not...  Open      24 Mar, 26     #11989403
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11989212
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11989099
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11989092
  my seat had a problem 11:31 pm...  Open      24 Mar, 26     #11989066
  suggestions: route, timing, st...  Open      24 Mar, 26     #11988826
  i had a payment related issue ...  Open      24 Mar, 26     #11988740
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11988385
  my seat had a problem 10:36 pm...  Open      24 Mar, 26     #11988364
  i had an issue with driver 10:...  Open      24 Mar, 26     #11988360
  i lost or found something 10:2...  Open      24 Mar, 26     #11988234
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11988210
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11988157
  i had an issue with driver 10:...  Open      24 Mar, 26     #11988009
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11987968
  i had an issue with driver 9:4...  Open      24 Mar, 26     #11987691
  i had an issue with driver 9:3...  Open      24 Mar, 26     #11987611
  suggestions: route, timing, st...  Open      24 Mar, 26     #11987526
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11987336
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11987335
  suggestions: route, timing, st...  Open      24 Mar, 26     #11987302
  suggestions: route, timing, st...  Open      24 Mar, 26     #11987276
  i had an issue with driver 9:0...  Open      24 Mar, 26     #11987204
  i had an issue with driver 8:5...  Open      24 Mar, 26     #11987078
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11986873
  tracking issue 8:30 pm the bus...  Open      24 Mar, 26     #11986749
  tracking issue 8:22 pm the bus...  Open      24 Mar, 26     #11986714
  tracking issue 7:59 pm i could...  Open      24 Mar, 26     #11986442
  i have an issue with driver 7:...  Open      24 Mar, 26     #11986362
  i lost or found something 7:53...  Open      24 Mar, 26     #11986359
  my seat had a problem 7:35 pm ...  Open      24 Mar, 26     #11986117
  i had an issue with driver 7:3...  Open      24 Mar, 26     #11986101
  app issue 7:14 pm app was not ...  Open      24 Mar, 26     #11985828
  where is my bus 7:04 pm i can'...  Open      24 Mar, 26     #11985679
  i had an issue with ac 7:04 pm...  Open      24 Mar, 26     #11985678
  i had an issue with driver 6:2...  Open      24 Mar, 26     #11984857
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11984725
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11984580
  i lost or found something 6:00...  Open      24 Mar, 26     #11984400
  i lost or found something 6:00...  Open      24 Mar, 26     #11984389
  suggestions: route, timing, st...  Open      24 Mar, 26     #11984334
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11983757
  i have a payment related issue...  Open      24 Mar, 26     #11983653
  i have a payment related issue...  Open      24 Mar, 26     #11983559
  i had an issue with ac 4:37 pm...  Open      24 Mar, 26     #11982671
  tracking issue 4:28 pm the bus...  Open      24 Mar, 26     #11982512
  i have an issue with ac 4:12 p...  Open      24 Mar, 26     #11982215
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11981615
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11981181
  tracking issue 2:47 pm i could...  Open      24 Mar, 26     #11981137
  suggestions: route, timing, st...  Open      24 Mar, 26     #11981066
  i lost or found something 2:13...  Open      24 Mar, 26     #11980818
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11980711
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11980565
  i had an issue with driver 1:2...  Open      24 Mar, 26     #11980423
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11980099
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11979999
  my seat had a problem 12:18 pm...  Open      24 Mar, 26     #11979974
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11979785
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11979709
  i had an issue with driver 11:...  Open      24 Mar, 26     #11979677
  i had an issue with driver 11:...  Open      24 Mar, 26     #11979662
  suggestions: route, timing, st...  Open      24 Mar, 26     #11979514
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11979409
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11979181
  tracking issue 10:34 am tracki...  Open      24 Mar, 26     #11979167
  i lost or found something 10:2...  Open      24 Mar, 26     #11979074
  i had an issue with driver 10:...  Open      24 Mar, 26     #11979062
  i had an issue with driver 10:...  Open      24 Mar, 26     #11979031
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11978930
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11978852
  i had an issue with driver 9:5...  Open      24 Mar, 26     #11978816
  i lost or found something 9:51...  Open      24 Mar, 26     #11978782
  i have an issue with driver 9:...  Open      24 Mar, 26     #11978768
  i have an issue with ac 9:50 a...  Open      24 Mar, 26     #11978761
  my seat had a problem 9:48 am ...  Open      24 Mar, 26     #11978734
  i lost or found something 9:45...  Open      24 Mar, 26     #11978724
  my seat has a problem 9:32 am ...  Open      24 Mar, 26     #11978602
  my seat has a problem 9:15 am ...  Open      24 Mar, 26     #11978435
  i have an issue with driver 9:...  Open      24 Mar, 26     #11978410
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11978408
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11978404
  i had an issue with driver 9:0...  Open      24 Mar, 26     #11978297
  i had an issue with driver 9:0...  Open      24 Mar, 26     #11978250
  i had an issue with driver 8:4...  Open      24 Mar, 26     #11977953
  app issue 8:44 am app not work...  Open      24 Mar, 26     #11977928
  i lost or found something 8:40...  Open      24 Mar, 26     #11977843
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11977832
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11977311
  my seat had a problem 8:20 am ...  Open      24 Mar, 26     #11977293
  my seat has a problem 8:19 am ...  Open      24 Mar, 26     #11977277
  where is my bus 8:11 am tracki...  Open      24 Mar, 26     #11977011
  i had an issue with driver 8:1...  Open      24 Mar, 26     #11977010
  i had an issue with driver 8:0...  Open      24 Mar, 26     #11976928
  where is my bus 8:04 am i can'...  Open      24 Mar, 26     #11976773
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11976562
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11976561
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11976318
  i had an issue with driver 7:4...  Open      24 Mar, 26     #11976126
  my seat has a problem 7:40 am ...  Open      24 Mar, 26     #11975853
  where is my bus 7:32 am the bu...  Open      24 Mar, 26     #11975616
  i lost or found something 7:28...  Open      24 Mar, 26     #11975490
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11975372
  suggestions: route, timing, st...  Open      24 Mar, 26     #11975355
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11975307
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11975212
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11975062
  bus quality and hygiene issue ...  Open      24 Mar, 26     #11974167
  No Issue Stated (Dropped Off)     Open      24 Mar, 26     #11974166
  i lost or found something 12:1...  Open      23 Mar, 26     #11973437
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11973196
  i had an issue with driver 10:...  Open      23 Mar, 26     #11972619
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11972541
  my seat had a problem 10:38 pm...  Open      23 Mar, 26     #11972391
  my seat had a problem 10:34 pm...  Open      23 Mar, 26     #11972332
  i had an issue with driver 10:...  Open      23 Mar, 26     #11972272
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11971911
  i lost or found something 9:57...  Open      23 Mar, 26     #11971823
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11971561
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11971545
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11971221
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11971121
  fake promise, this won't b fix...  Open      23 Mar, 26     #11970945
  i had an issue with ac 7:51 pm...  Open      23 Mar, 26     #11970491
  i have an issue with ac 7:50 p...  Open      23 Mar, 26     #11970477
  i have a payment related issue...  Open      23 Mar, 26     #11970410
  i had an issue with driver 6:3...  Open      23 Mar, 26     #11969461
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11969194
  my seat had a problem 6:09 pm ...  Open      23 Mar, 26     #11968943
  i lost or found something 6:02...  Open      23 Mar, 26     #11968778
  i missed my bus 6:01 pm i want...  Open      23 Mar, 26     #11968750
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11968709
  No Issue Stated (Dropped Off)     Open      23 Mar, 26     #11968326
  my seat had a problem 5:25 pm ...  Open      23 Mar, 26     #11968065
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11967384
  tracking issue 3:33 pm trackin...  Open      23 Mar, 26     #11966375
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11965877
  suggestions: route, timing, st...  Open      23 Mar, 26     #11965849
  tracking issue 2:41 pm i could...  Open      23 Mar, 26     #11965760
  app issue 2:28 pm app not work...  Open      23 Mar, 26     #11965544
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11965482
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11965393
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11965180
  i had an issue with driver 1:4...  Open      23 Mar, 26     #11965009
  my seat had a problem 1:10 pm ...  Open      23 Mar, 26     #11964660
  i had an issue with driver 12:...  Open      23 Mar, 26     #11964541
  i had an issue with driver 12:...  Open      23 Mar, 26     #11964423
  suggestions: route, timing, st...  Open      23 Mar, 26     #11964381
  i had an issue with driver 12:...  Open      23 Mar, 26     #11964289
  my seat had a problem 11:19 am...  Open      23 Mar, 26     #11963860
  my seat had a problem 11:15 am...  Open      23 Mar, 26     #11963829
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11963795
  suggestions: route, timing, st...  Open      23 Mar, 26     #11963781
  my seat had a problem 11:04 am...  Open      23 Mar, 26     #11963729
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11963658
  i had an issue with driver 10:...  Open      23 Mar, 26     #11963591
  i had an issue with driver 10:...  Open      23 Mar, 26     #11963500
  tracking issue 9:41 am the bus...  Open      23 Mar, 26     #11962979
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11962877
  tracking issue 11:13 am i coul...  Open      23 Mar, 26     #11962777
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11962448
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11962430
  where is my bus 8:05 am i can'...  Open      23 Mar, 26     #11961404
  where is my bus 8:00 am i can'...  Open      23 Mar, 26     #11961215
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11961194
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11961144
  main menu 8:04 am suggestions:...  Open      23 Mar, 26     #11961091
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11961039
  No Issue Stated (Dropped Off)     Open      23 Mar, 26     #11961032
  where is my bus 7:52 am i can'...  Open      23 Mar, 26     #11960996
  bus quality and hygiene issue ...  Open      23 Mar, 26     #11960979
  i have been complaining about ...  Open      23 Mar, 26     #11960650
  i had a payment related issue ...  Open      22 Mar, 26     #11959669
  i had an issue with driver 1:5...  Open      22 Mar, 26     #11959647
  my seat had a problem 11:04 pm...  Open      22 Mar, 26     #11959032
  my seat had a problem 10:15 pm...  Open      22 Mar, 26     #11958721
  my seat had a problem 7:22 pm ...  Open      22 Mar, 26     #11957782
  bus quality and hygiene issue ...  Open      22 Mar, 26     #11957278
  i had an issue with driver 3:2...  Open      22 Mar, 26     #11956999
  bus quality and hygiene issue ...  Open      22 Mar, 26     #11956478
  bus quality and hygiene issue ...  Open      21 Mar, 26     #11955767
  i lost or found something 7:56...  Open      20 Mar, 26     #11954187
  suggestions: route, timing, st...  Open      20 Mar, 26     #11953538
  my seat had a problem 6:01 pm ...  Open      20 Mar, 26     #11953271
  suggestions: route, timing, st...  Open      20 Mar, 26     #11953244
  bus quality and hygiene issue ...  Open      20 Mar, 26     #11952494
  bus quality and hygiene issue ...  Open      20 Mar, 26     #11952303
  i had an issue with driver 12:...  Open      20 Mar, 26     #11950806
  my seat had a problem 11:46 am...  Open      20 Mar, 26     #11950628
  bus quality and hygiene issue ...  Open      20 Mar, 26     #11950603
  i had an issue with driver 11:...  Open      20 Mar, 26     #11950457
  bus quality and hygiene issue ...  Open      20 Mar, 26     #11950384
  i had an issue with driver 9:1...  Open      20 Mar, 26     #11949804
  main menu 9:04 am bus quality ...  Open      20 Mar, 26     #11949702
  bus quality and hygiene issue ...  Open      20 Mar, 26     #11949686
  my seat has a problem 7:57 am ...  Open      20 Mar, 26     #11949094
  bus quality and hygiene issue ...  Open      20 Mar, 26     #11949029
  bus quality and hygiene issue ...  Open      20 Mar, 26     #11948715
  bus quality and hygiene issue ...  Open      20 Mar, 26     #11948643
  bus quality and hygiene issue ...  Open      19 Mar, 26     #11947520
  i had a payment related issue ...  Open      19 Mar, 26     #11944964
  i had an issue with driver 4:4...  Open      19 Mar, 26     #11944820
  bus quality and hygiene issue ...  Open      19 Mar, 26     #11944252
  tracking issue 11:04 am the bu...  Open      19 Mar, 26     #11943895
  suggestions: route, timing, st...  Open      19 Mar, 26     #11943370
  suggestions: route, timing, st...  Open      18 Mar, 26     #11942012
  i had an issue with driver 9:4...  Open      18 Mar, 26     #11941429
  bus quality and hygiene issue ...  Open      18 Mar, 26     #11941337
  i had an issue with driver 9:0...  Open      18 Mar, 26     #11941159
  i had an issue with driver 8:2...  Open      18 Mar, 26     #11940893
  my seat had a problem 8:24 pm ...  Open      18 Mar, 26     #11940878
  bus quality and hygiene issue ...  Open      18 Mar, 26     #11940804
  No Issue Stated (Dropped Off)     Open      18 Mar, 26     #11940803
  suggestions: route, timing, st...  Open      18 Mar, 26     #11940283
  bus quality and hygiene issue ...  Open      18 Mar, 26     #11940024
  i had an issue with driver 7:0...  Open      18 Mar, 26     #11939995
  i had an issue with driver 6:5...  Open      18 Mar, 26     #11939925
  i had an issue with driver 6:4...  Open      18 Mar, 26     #11939758
  i had an issue with ac 6:26 pm...  Open      18 Mar, 26     #11939453
  i had an issue with driver 6:1...  Open      18 Mar, 26     #11939322
  i lost or found something 5:58...  Open      18 Mar, 26     #11938944
  my seat had a problem 4:49 pm ...  Open      18 Mar, 26     #11937651
  bus quality and hygiene issue ...  Open      18 Mar, 26     #11937498
  my seat had a problem 4:39 pm ...  Open      18 Mar, 26     #11937480
  my seat had a problem 3:53 pm ...  Open      18 Mar, 26     #11936806
  i had an issue with driver 3:2...  Open      18 Mar, 26     #11936501
  my seat had a problem 3:06 pm ...  Open      18 Mar, 26     #11936265
  i lost or found something 2:54...  Open      18 Mar, 26     #11936131
  bus quality and hygiene issue ...  Open      18 Mar, 26     #11935141
  bus quality and hygiene issue ...  Open      18 Mar, 26     #11934708
  my seat had a problem 10:38 am...  Open      18 Mar, 26     #11934224
  i had an issue with ac 10:37 a...  Open      18 Mar, 26     #11934220
  i lost or found something 10:3...  Open      18 Mar, 26     #11934205
  bus quality and hygiene issue ...  Open      18 Mar, 26     #11934186
  suggestions: route, timing, st...  Open      18 Mar, 26     #11933774
  my seat has a problem 9:21 am ...  Open      18 Mar, 26     #11933536
  where is my bus 9:04 am i can'...  Open      18 Mar, 26     #11933317
  my seat has a problem 8:48 am ...  Open      18 Mar, 26     #11933052
  i had an issue with driver 8:3...  Open      18 Mar, 26     #11932859
