#,Route Name,Departure,First Pickup Stop,Last Pickup Stop
34,Mira road - Andheri,06:50:00,Maxus Mall Indofil,Virwani Estate Indofil
35,Panvel - Andheri,06:50:00,Navy Nagar,Navy Nagar
36,PANVEL - ANDHERI,06:50:00,Chembur Naka,Chembur Naka
37,Thane - Marol,06:50:00,Lodha Splendora,Mulund Mhada
38,Kapurbavadi - Andheri,06:55:00, Lodha Amara gate no 4 Indofil,Louis wadi Indofil
39,Panvel - Powai (start Panvel),06:55:00,Panvel Railway Station  TATA Projects,Hotel Praveen (TATA projects)
40,Thane - Vikhroli,06:55:00,lodha splendora B&V,Mulund Check Naka
41,Ashok Deluxe - ICICI Bank,07:00:00,Ashok deluxe apartments UNext,Ashok deluxe apartments UNext
42,BADLAPUR- ANDHERI,07:00:00,Chembur Naka,Chembur Naka
43,Bhiwandi - Vikhroli,07:00:00,Kalher Naka B&V,Dhokali Naka B&V
44,Borivali - Andheri,07:00:00,Navy Nagar,Navy Nagar
45,BORIVALI - ANDHERI,07:00:00,Chembur Naka,Chembur Naka
46,Borivali Station (East) 01 - Godrej IT Park,07:00:00,Borivali station east BMI,National Park BMI
47,Borivali station east 02 Pushpa park - Godrej IT Park,07:00:00,Pushpa Park bus stop BMI,Hiranandani MTNL BMI
48,BORIVALI -Wadala,07:00:00,Panvel,Panvel
49,Borivali west - Godrej IT park BMI,07:00:00,"Bosco Signal, Link Rd, Borivali BMI","Orbit Hospital, S V Rd, Goregaon BMI"
50,Borivalli Station (East) 03 National Park - Godrej IT Park,07:00:00,National Park BMI,Hiranandani MTNL BMI
51,Dadar - Malad,07:00:00,Srishti Complex,Srishti Complex
52,Dombivali - Andheri,07:00:00,Navy Nagar,Navy Nagar
53,Dombivali - ANDHERI,07:00:00,Chembur Naka,Chembur Naka
54,Ghansoli station  - Mahape,07:00:00,"Dmart, Ghansoli","Dmart, Ghansoli"
55,K1 - New Panvel,07:00:00,Deepak Fertiliser K1 PCL,Deepak Fertiliser K1 PCL
